Text,Label
y r u always l8 to the meetings?,1
The project team embraced a user-centric design approach for product development.,0
"i dont like dealing with risks, it's too stressful",1
"i dont worry about reliability, it's good enough",1
"i dont care about human-centered design, just give me the final product",1
The study's methodology ensured a representative sample across demographics.,0
"i dont care about industry practices, just give me the solution",1
The project team documented all processes for transparency.,0
The project team maintained open lines of communication.,0
The findings are consistent with existing theoretical frameworks.,0
"i dont like inclusive decision-making, it's too slow",1
The results are presented in a logically organized manner.,0
The research findings have practical implications for industry professionals.,0
"i dont talk about limitations, it makes me look bad",1
The research methodology incorporated a multi-method approach for comprehensive data.,0
"i dont care about participant responses, just give me the data",1
"The study's limitations are openly acknowledged, recognizing study boundaries.",0
"The study's limitations are openly discussed, recognizing potential shortcomings.",0
"i dont like solving problems, it's too much effort",1
"i dont care about skill development, it's irrelevant",1
The research findings contribute to the theoretical foundation of the field.,0
The project team maintained a collaborative and inclusive decision-making process.,0
"i dont worry about bias, it's unavoidable",1
"i prefer working alone, teamwork is too complicated",1
The study of behavioral economics examines the psychological factors influencing economic decisions.,0
lol ur jokes r so lame,1
The project team prioritized transparent communication with stakeholders.,0
"In environmental science, the impact of deforestation on biodiversity is a critical concern.",0
The research design accounts for potential confounding variables.,0
"In the field of robotics, biomimicry leads to the development of more efficient robots.",0
"i dont like solving problems, it's too much effort",1
"i dont talk about limitations, it makes me look bad",1
The project team adhered to the project timeline.,0
"i dont worry about accuracy, it's good enough",1
It's important to cite sources properly in academic writing.,0
The project team utilized feedback to enhance the project deliverables.,0
"i dont care about psychological factors, just give me the data",1
"The study's limitations are openly discussed, addressing potential biases.",0
"i dont understand machine learning, just give me the conclusion",1
The project team displayed creativity in problem-solving.,0
The project team maintained a high level of accuracy in data entry.,0
"i dont like continuous feedback, it's too repetitive",1
"The study's limitations are transparently presented, acknowledging potential challenges.",0
"i dont like open communication, it's too time-consuming",1
"i dont care about internal validity, it's too technical",1
"i prefer to follow, leadership is too much responsibility",1
"In automotive design, aerodynamics play a crucial role in improving fuel efficiency.",0
ur not gonna believe what happened in class today,1
y r u always l8 to the meetings?,1
